Metadata Type,Metadata API,Source Tracking (force:source:push/pull),Unlocked Packaging
StaticResource,TRUE,TRUE,TRUE
SynonymDictionary,TRUE,Expanded Source Tracking (Beta),TRUE
Territory,TRUE,TRUE,Requires Package without a Namespace
Territory2,TRUE,TRUE,TRUE
Territory2Model,TRUE,TRUE,TRUE
Territory2Rule,TRUE,TRUE,Requires Package without a Namespace
Territory2Settings,TRUE,FALSE,FALSE
Territory2Type,TRUE,TRUE,Requires Package without a Namespace
TopicsForObjects,TRUE,Expanded Source Tracking (Beta),TRUE
TransactionSecurityPolicy,TRUE,TRUE,TRUE
Translations,TRUE,TRUE,Requires Package without a Namespace
UiPlugin,TRUE,Expanded Source Tracking (Beta),TRUE
User,TRUE,FALSE,TRUE
UserCriteria,TRUE,TRUE,Requires Package without a Namespace
UserLicense,TRUE,FALSE,TRUE
UserMapped,TRUE,FALSE,TRUE
ValidationRule,TRUE,TRUE,TRUE
VisualizationPlugin,TRUE,TRUE,TRUE
WaveApplication,TRUE,TRUE,TRUE
WaveDashboard,TRUE,TRUE,TRUE
WaveDataflow,TRUE,TRUE,TRUE
WaveDataset,TRUE,TRUE,TRUE
WaveLens,TRUE,TRUE,TRUE
WaveRecipe,TRUE,TRUE,TRUE
WaveTemplateBundle,TRUE,TRUE,TRUE
WaveXmd,TRUE,TRUE,TRUE
WebLink,TRUE,TRUE,TRUE
Workflow,TRUE,TRUE,TRUE
WorkflowAlert,TRUE,TRUE,TRUE
WorkflowFieldUpdate,TRUE,TRUE,TRUE
WorkflowFlowAction,TRUE,TRUE,TRUE
WorkflowKnowledgePublish,TRUE,TRUE,TRUE
WorkflowOutboundMessage,TRUE,TRUE,TRUE
WorkflowRule,TRUE,TRUE,TRUE
WorkflowSend,TRUE,TRUE,TRUE
WorkflowTask,TRUE,TRUE,TRUE
